D_wassermani,D_bromeliae,D_arizonae,D_hydei,D_pseudotalamancana
D_americana,D_montana,D_pseudotalamancana,D_wassermani,D_robusta


D_differens,D_planitibia,D_heteroneura,D_silvestris,D_cyrtoloma
D_murphyi,D_sproati,D_villosipedis,D_ochracea,D_grimshawi
D_paucipunta,D_grimshawi,D_silvestris,D_cyrtoloma,D_primaeva
S_elmoi,S_pallida,S_flava,S_montana,D_primaeva


D_neonasuta,D_pulaua,D_nasuta,D_kepulauana,D_neohypocausta
D_nasuta,D_neohypocausta,D_immigrans,D_immigrans_kari17,D_pruinosa
D_dunni,D_cardini,D_ornatifrons,D_subbadia,D_pallidipennis
D_dunni,D_pallidipennis,D_funebris,D_innubila,D_quadrilineata
D_neohypocausta,D_pruinosa,D_pallidipennis,D_funebris,D_quadrilineata


Z_nigranus,Z_vittiger,Z_capensis,Z_taronus,Z_ornatusmayotte
Z_africanus,Z_gabonicus,Z_nigranus,Z_taronus,Z_ornatusmayotte

D_nasuta,D_quadrilineata,Z_africanus,Z_tuberculatus,D_repletoides
